accession,model_entity_id,latest_version,mean_plddt,organism,tax_id,gene,description,uniprot_id,seq_length,cif_url
A0A075GT79,AF-A0A075GT79-F1,6,96.0,uncultured marine thaumarchaeote KM3_183_D03,1456069,,Transcription factor NikR nickel binding C-terminal domain-containing protein,A0A075GT79_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A075GT79-F1-model_v6.cif
A0A075H126,AF-A0A075H126-F1,6,95.38,uncultured marine thaumarchaeote KM3_33_B12,1456125,,Uncharacterized protein,A0A075H126_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A075H126-F1-model_v6.cif
A0A075H1U6,AF-A0A075H1U6-F1,6,95.81,uncultured marine thaumarchaeote KM3_42_G11,1456149,msrAB,peptide-methionine (R)-S-oxide reductase,A0A075H1U6_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A075H1U6-F1-model_v6.cif
A0A075HED3,AF-A0A075HED3-F1,6,96.44,uncultured marine thaumarchaeote KM3_57_D03,1456206,msrB,peptide-methionine (R)-S-oxide reductase,A0A075HED3_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A075HED3-F1-model_v6.cif
A0A075HHM8,AF-A0A075HHM8-F1,6,95.81,uncultured marine thaumarchaeote KM3_70_D07,1456252,msrB,peptide-methionine (R)-S-oxide reductase,A0A075HHM8_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075HHM8-F1-model_v6.cif
A0A075HJ46,AF-A0A075HJ46-F1,6,96.25,uncultured marine thaumarchaeote KM3_74_C01,1456269,msrB,peptide-methionine (R)-S-oxide reductase,A0A075HJ46_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A075HJ46-F1-model_v6.cif
A0A075HVM8,AF-A0A075HVM8-F1,6,96.75,uncultured marine thaumarchaeote KM3_87_C09,1456327,msrB,peptide-methionine (R)-S-oxide reductase,A0A075HVM8_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A075HVM8-F1-model_v6.cif
A0A075I1Q2,AF-A0A075I1Q2-F1,6,95.44,uncultured marine thaumarchaeote SAT1000_09_C08,1456370,bphF,"Rieske (2Fe-2S) domain-containing protein (HcaC, bphF)",A0A075I1Q2_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075I1Q2-F1-model_v6.cif
A0A075I3Q2,AF-A0A075I3Q2-F1,6,95.38,uncultured marine thaumarchaeote SAT1000_09_B08,1456368,bphF,"Rieske (2Fe-2S) domain-containing protein (HcaC, bphF)",A0A075I3Q2_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075I3Q2-F1-model_v6.cif
A0A075I6E0,AF-A0A075I6E0-F1,6,96.0,uncultured marine thaumarchaeote SAT1000_09_B07,1456367,bphF,"Rieske (2Fe-2S) domain-containing protein (HcaC, bphF)",A0A075I6E0_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075I6E0-F1-model_v6.cif
A0A075I8Y7,AF-A0A075I8Y7-F1,6,95.75,uncultured marine thaumarchaeote SAT1000_09_C07,1456369,bphF,"Rieske (2Fe-2S) domain-containing protein (HcaC, bphF)",A0A075I8Y7_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075I8Y7-F1-model_v6.cif
A0A075I9N7,AF-A0A075I9N7-F1,6,97.31,uncultured marine thaumarchaeote SAT1000_10_G09,1456375,hisIE,phosphoribosyl-AMP cyclohydrolase,A0A075I9N7_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A075I9N7-F1-model_v6.cif
A0A075I9Q6,AF-A0A075I9Q6-F1,6,95.0,uncultured marine thaumarchaeote SAT1000_10_G09,1456375,QTRT1,"tRNA-guanine transglycosylase (Tgt, QTRT1)",A0A075I9Q6_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A075I9Q6-F1-model_v6.cif
A0A087RU44,AF-A0A087RU44-F1,6,95.06,Marine Group I thaumarchaeote SCGC AAA799-P11,1502295,AAA799P11_01390,Nucleoside-diphosphate kinase protein,A0A087RU44_9ARCH,24,https://alphafold.ebi.ac.uk/files/AF-A0A087RU44-F1-model_v6.cif
A0A087S4K0,AF-A0A087S4K0-F1,6,95.94,Marine Group I thaumarchaeote SCGC AAA799-B03,1502289,AAA799B03_01472,Uncharacterized protein,A0A087S4K0_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A087S4K0-F1-model_v6.cif
A0A0F2L3J9,AF-A0A0F2L3J9-F1,6,97.69,Vulcanisaeta sp. AZ3,1609231,TU36_04665,Glycerophosphodiester phosphodiesterase,A0A0F2L3J9_9CREN,44,https://alphafold.ebi.ac.uk/files/AF-A0A0F2L3J9-F1-model_v6.cif
A0A0F8EH70,AF-A0A0F8EH70-F1,6,95.94,Methanosarcina sp. 2.H.A.1B.4,1483600,EO92_15125,Desulforedoxin,A0A0F8EH70_9EURY,41,https://alphafold.ebi.ac.uk/files/AF-A0A0F8EH70-F1-model_v6.cif
A0A0F8MQP1,AF-A0A0F8MQP1-F1,6,95.56,Methanosarcina mazei,2209,DKM28_03965,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A0F8MQP1_METMZ,41,https://alphafold.ebi.ac.uk/files/AF-A0A0F8MQP1-F1-model_v6.cif
A0A0U2L4M8,AF-A0A0U2L4M8-F1,6,95.25,Methanobrevibacter millerae,230361,rub3,Rubredoxin,A0A0U2L4M8_9EURY,36,https://alphafold.ebi.ac.uk/files/AF-A0A0U2L4M8-F1-model_v6.cif
A0A0U3H9J4,AF-A0A0U3H9J4-F1,6,95.06,Thermococcus sp. 2319x1,1674923,ADU37_CDS12220,TsaA-like domain-containing protein,A0A0U3H9J4_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A0U3H9J4-F1-model_v6.cif
A0A101DYV5,AF-A0A101DYV5-F1,6,96.88,Archaeoglobus fulgidus,2234,XD40_2346,NADH oxidase (NoxB-2),A0A101DYV5_ARCFL,41,https://alphafold.ebi.ac.uk/files/AF-A0A101DYV5-F1-model_v6.cif
A0A101DZD3,AF-A0A101DZD3-F1,6,95.62,Archaeoglobus fulgidus,2234,XD40_2115,Nitrogen regulatory protein P-II (GlnB-3),A0A101DZD3_ARCFL,33,https://alphafold.ebi.ac.uk/files/AF-A0A101DZD3-F1-model_v6.cif
A0A101E0G0,AF-A0A101E0G0-F1,6,96.88,Archaeoglobus fulgidus,2234,XD40_1393,Flavodoxin,A0A101E0G0_ARCFL,40,https://alphafold.ebi.ac.uk/files/AF-A0A101E0G0-F1-model_v6.cif
A0A101GKX7,AF-A0A101GKX7-F1,6,96.31,Methanoculleus marisnigri,2198,XD82_1638,Quinoprotein ethanol dehydrogenase,A0A101GKX7_9EURY,45,https://alphafold.ebi.ac.uk/files/AF-A0A101GKX7-F1-model_v6.cif
A0A101GND4,AF-A0A101GND4-F1,6,95.12,Methanoculleus marisnigri,2198,XD82_1015,Uncharacterized protein family (UPF0150),A0A101GND4_9EURY,29,https://alphafold.ebi.ac.uk/files/AF-A0A101GND4-F1-model_v6.cif
A0A101IR95,AF-A0A101IR95-F1,6,96.81,Methanoculleus marisnigri,2198,XD82_1824,Cytidine kinase / inosine-guanosine kinase,A0A101IR95_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A101IR95-F1-model_v6.cif
A0A101ISX8,AF-A0A101ISX8-F1,6,95.31,Methanoculleus marisnigri,2198,XE10_1278,Glutamyl-tRNA(Gln) amidotransferase subunit E,A0A101ISX8_9EURY,32,https://alphafold.ebi.ac.uk/files/AF-A0A101ISX8-F1-model_v6.cif
A0A117LQ45,AF-A0A117LQ45-F1,6,96.0,Methanoculleus marisnigri,2198,XD82_1319,Aminotransferase,A0A117LQ45_9EURY,32,https://alphafold.ebi.ac.uk/files/AF-A0A117LQ45-F1-model_v6.cif
A0A117MEV4,AF-A0A117MEV4-F1,6,97.81,Methanoculleus marisnigri,2198,XD82_1134,Protein tyrosine phosphatase,A0A117MEV4_9EURY,38,https://alphafold.ebi.ac.uk/files/AF-A0A117MEV4-F1-model_v6.cif
A0A117MF79,AF-A0A117MF79-F1,6,96.5,Methanoculleus marisnigri,2198,XE10_1277,UBA/THIF-type NAD/FAD binding protein,A0A117MF79_9EURY,47,https://alphafold.ebi.ac.uk/files/AF-A0A117MF79-F1-model_v6.cif
A0A124F7Z6,AF-A0A124F7Z6-F1,6,96.5,Archaeoglobus fulgidus,2234,XD40_1670,NADH oxidase (NoxB-2),A0A124F7Z6_ARCFL,41,https://alphafold.ebi.ac.uk/files/AF-A0A124F7Z6-F1-model_v6.cif
A0A126QX97,AF-A0A126QX97-F1,6,97.25,methanogenic archaeon mixed culture ISO4-G1,1452364,AUP07_0960,Rubredoxin,A0A126QX97_9EURY,44,https://alphafold.ebi.ac.uk/files/AF-A0A126QX97-F1-model_v6.cif
A0A139CG29,AF-A0A139CG29-F1,6,95.19,Methanohalophilus sp. T328-1,1794907,AWU58_1993,Homoisocitrate dehydrogenase,A0A139CG29_9EURY,37,https://alphafold.ebi.ac.uk/files/AF-A0A139CG29-F1-model_v6.cif
A0A1C8ZW37,AF-A0A1C8ZW37-F1,6,95.56,Saccharolobus sp. A20,1891280,BFU36_03180,ATPase,A0A1C8ZW37_9CREN,50,https://alphafold.ebi.ac.uk/files/AF-A0A1C8ZW37-F1-model_v6.cif
A0A1G6L254,AF-A0A1G6L254-F1,6,95.12,Natrinema hispanicum,392421,BDK88_0525,"Regulatory protein, FmdB family",A0A1G6L254_9EURY,44,https://alphafold.ebi.ac.uk/files/AF-A0A1G6L254-F1-model_v6.cif
A0A1G7QZ38,AF-A0A1G7QZ38-F1,6,96.31,Halorubrum xinjiangense,261291,SAMN04488067_11342,Uncharacterized protein,A0A1G7QZ38_9EURY,49,https://alphafold.ebi.ac.uk/files/AF-A0A1G7QZ38-F1-model_v6.cif
A0A1H1EH39,AF-A0A1H1EH39-F1,6,95.0,Halopelagius longus,1236180,rpl39e,Large ribosomal subunit protein eL39,A0A1H1EH39_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A1H1EH39-F1-model_v6.cif
A0A1I0QAW8,AF-A0A1I0QAW8-F1,6,95.0,Natrinema salifodinae,1202768,rpl39e,Large ribosomal subunit protein eL39,A0A1I0QAW8_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A1I0QAW8-F1-model_v6.cif
A0A1L3Q2M2,AF-A0A1L3Q2M2-F1,6,95.5,Methanohalophilus halophilus,2177,BHR79_06160,Desulfoferrodoxin,A0A1L3Q2M2_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A1L3Q2M2-F1-model_v6.cif
A0A1L9C4R6,AF-A0A1L9C4R6-F1,6,95.69,Methanohalophilus portucalensis FDF-1,523843,EFE41_04205,Desulfoferrodoxin Dfx domain protein,A0A1L9C4R6_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A1L9C4R6-F1-model_v6.cif
A0A1Q9NRY5,AF-A0A1Q9NRY5-F1,6,95.5,Heimdallarchaeota archaeon (strain LC_2),1841597,HeimC2_20790,Uncharacterized protein,A0A1Q9NRY5_HEILC,50,https://alphafold.ebi.ac.uk/files/AF-A0A1Q9NRY5-F1-model_v6.cif
A0A1S6H833,AF-A0A1S6H833-F1,6,96.38,Uncultured archaeon,115547,,N-acetyltransferase domain-containing protein,A0A1S6H833_UNCAX,45,https://alphafold.ebi.ac.uk/files/AF-A0A1S6H833-F1-model_v6.cif
A0A1S6H9M5,AF-A0A1S6H9M5-F1,6,96.0,Uncultured archaeon,115547,,Uncharacterized protein,A0A1S6H9M5_UNCAX,49,https://alphafold.ebi.ac.uk/files/AF-A0A1S6H9M5-F1-model_v6.cif
A0A1V4TPG4,AF-A0A1V4TPG4-F1,6,96.0,Methanomassiliicoccales archaeon PtaB.Bin215,1811728,A4E30_00801,Desulfoferrodoxin N-terminal domain-containing protein,A0A1V4TPG4_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A1V4TPG4-F1-model_v6.cif
A0A1V4YX59,AF-A0A1V4YX59-F1,6,95.94,Methanocella sp. PtaU1.Bin125,1811677,A4E28_02846,Uncharacterized protein,A0A1V4YX59_9EURY,37,https://alphafold.ebi.ac.uk/files/AF-A0A1V4YX59-F1-model_v6.cif
A0A1V4Z9N6,AF-A0A1V4Z9N6-F1,6,97.31,Methanocella sp. PtaU1.Bin125,1811677,rub_1,Rubredoxin,A0A1V4Z9N6_9EURY,35,https://alphafold.ebi.ac.uk/files/AF-A0A1V4Z9N6-F1-model_v6.cif
A0A219ANU8,AF-A0A219ANU8-F1,6,96.31,Methanobrevibacter sp. 87.7,387957,BGI41_02690,Uncharacterized protein,A0A219ANU8_9EURY,34,https://alphafold.ebi.ac.uk/files/AF-A0A219ANU8-F1-model_v6.cif
A0A284VNA8,AF-A0A284VNA8-F1,6,96.25,Candidatus Methanoperedens nitroreducens,1392998,MNV_2010002,Uncharacterized protein,A0A284VNA8_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A284VNA8-F1-model_v6.cif
A0A285ESG6,AF-A0A285ESG6-F1,6,96.31,Methanohalophilus euhalobius,51203,B0H22_10561,Polyphosphate kinase 2 (PPK2),A0A285ESG6_9EURY,41,https://alphafold.ebi.ac.uk/files/AF-A0A285ESG6-F1-model_v6.cif
A0A285EYT8,AF-A0A285EYT8-F1,6,95.62,Methanohalophilus euhalobius,51203,B0H22_10112,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A285EYT8_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A285EYT8-F1-model_v6.cif
A0A2E0QIE5,AF-A0A2E0QIE5-F1,6,95.38,Nitrososphaerota archaeon,2026795,CMO14_02930,3-phosphoglycerate dehydrogenase,A0A2E0QIE5_UNCNO,39,https://alphafold.ebi.ac.uk/files/AF-A0A2E0QIE5-F1-model_v6.cif
A0A2E4JTY0,AF-A0A2E4JTY0-F1,6,96.88,Nitrososphaerota archaeon,2026795,CMO16_06065,50S ribosomal protein L34,A0A2E4JTY0_UNCNO,44,https://alphafold.ebi.ac.uk/files/AF-A0A2E4JTY0-F1-model_v6.cif
A0A2G1WNH3,AF-A0A2G1WNH3-F1,6,96.62,Halorubrum persicum,1383844,DJ69_00400,superoxide dismutase,A0A2G1WNH3_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A2G1WNH3-F1-model_v6.cif
A0A2G9PKM8,AF-A0A2G9PKM8-F1,6,95.81,Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_47_9,1974455,COT48_03190,HicB family protein,A0A2G9PKM8_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A2G9PKM8-F1-model_v6.cif
A0A2H9PSD1,AF-A0A2H9PSD1-F1,6,95.12,Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_10,1974448,COY26_02530,Stress response translation initiation inhibitor YciH,A0A2H9PSD1_9ARCH,30,https://alphafold.ebi.ac.uk/files/AF-A0A2H9PSD1-F1-model_v6.cif
A0A2P0QLX2,AF-A0A2P0QLX2-F1,6,96.06,Uncultured archaeon,115547,,5-formyltetrahydrofolate cyclo-ligase,A0A2P0QLX2_UNCAX,36,https://alphafold.ebi.ac.uk/files/AF-A0A2P0QLX2-F1-model_v6.cif
A0A2R4ZQL9,AF-A0A2R4ZQL9-F1,6,95.31,Desulfurococcaceae archaeon AG1,2027460,ATG_07370,Succinate dehydrogenase/fumarate reductase iron-sulfur subunit,A0A2R4ZQL9_9CREN,46,https://alphafold.ebi.ac.uk/files/AF-A0A2R4ZQL9-F1-model_v6.cif
A0A2R6C3Z5,AF-A0A2R6C3Z5-F1,6,96.88,Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G06,1978166,B9Q12_00090,Proteasome subunit beta,A0A2R6C3Z5_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A2R6C3Z5-F1-model_v6.cif
A0A2R6C5B4,AF-A0A2R6C5B4-F1,6,95.75,Candidatus Marsarchaeota G2 archaeon BE_D,1978158,B9Q04_18145,PIN domain-containing protein,A0A2R6C5B4_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A2R6C5B4-F1-model_v6.cif
A0A2R6C8T4,AF-A0A2R6C8T4-F1,6,95.5,Candidatus Marsarchaeota G2 archaeon BE_D,1978158,B9Q04_11650,CoA-binding domain-containing protein,A0A2R6C8T4_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A2R6C8T4-F1-model_v6.cif
A0A2R6CA67,AF-A0A2R6CA67-F1,6,96.31,Candidatus Marsarchaeota G2 archaeon BE_D,1978158,B9Q04_09210,Aspartate/ornithine carbamoyltransferase carbamoyl-P binding domain-containing protein,A0A2R6CA67_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A2R6CA67-F1-model_v6.cif
A0A2R6CAA9,AF-A0A2R6CAA9-F1,6,95.38,Candidatus Marsarchaeota G2 archaeon BE_D,1978158,B9Q04_08900,Metal-dependent hydrolase,A0A2R6CAA9_9ARCH,32,https://alphafold.ebi.ac.uk/files/AF-A0A2R6CAA9-F1-model_v6.cif
A0A2R6D1W6,AF-A0A2R6D1W6-F1,6,95.0,Halobacteriales archaeon QH_2_66_30,1919152,rpl39e,Large ribosomal subunit protein eL39,A0A2R6D1W6_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A2R6D1W6-F1-model_v6.cif
A0A2R6EXE0,AF-A0A2R6EXE0-F1,6,95.56,Halobacteriales archaeon QH_7_66_37,1919159,BRC73_05280,Plastocyanin,A0A2R6EXE0_9EURY,35,https://alphafold.ebi.ac.uk/files/AF-A0A2R6EXE0-F1-model_v6.cif
A0A2R6LXP5,AF-A0A2R6LXP5-F1,6,95.94,Halobacteriales archaeon SW_12_67_38,1919196,BRD12_09030,Phosphoribosylamine--glycine ligase,A0A2R6LXP5_9EURY,46,https://alphafold.ebi.ac.uk/files/AF-A0A2R6LXP5-F1-model_v6.cif
A0A2R6MFM1,AF-A0A2R6MFM1-F1,6,97.56,Halobacteriales archaeon SW_12_67_38,1919196,BRD12_03155,Aspartate-semialdehyde dehydrogenase,A0A2R6MFM1_9EURY,45,https://alphafold.ebi.ac.uk/files/AF-A0A2R6MFM1-F1-model_v6.cif
A0A2R6MFZ7,AF-A0A2R6MFZ7-F1,6,95.25,Halobacteriales archaeon SW_12_67_38,1919196,BRD12_03015,DNA-binding protein,A0A2R6MFZ7_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A2R6MFZ7-F1-model_v6.cif
A0A2V3I199,AF-A0A2V3I199-F1,6,95.62,Methanobacteriota archaeon,2026739,CXX70_09335,Cold-shock protein,A0A2V3I199_UNCMT,27,https://alphafold.ebi.ac.uk/files/AF-A0A2V3I199-F1-model_v6.cif
A0A2V3JFQ8,AF-A0A2V3JFQ8-F1,6,95.88,Methanophagales archaeon,2056316,C4B56_07690,Rubredoxin,A0A2V3JFQ8_UNCME,45,https://alphafold.ebi.ac.uk/files/AF-A0A2V3JFQ8-F1-model_v6.cif
A0A2V3JMT2,AF-A0A2V3JMT2-F1,6,95.56,ANME-2 cluster archaeon,2056317,C4B59_02080,Ryanodine receptor Ryr,A0A2V3JMT2_9EURY,45,https://alphafold.ebi.ac.uk/files/AF-A0A2V3JMT2-F1-model_v6.cif
A0A2V4GT18,AF-A0A2V4GT18-F1,6,95.62,Thermoplasma sp. Kam2015,2094122,DMB44_06970,Uncharacterized protein,A0A2V4GT18_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A2V4GT18-F1-model_v6.cif
A0A2V4H8E0,AF-A0A2V4H8E0-F1,6,95.75,Thermoplasma sp. Kam2015,2094122,DMB44_06965,UPF0033 domain-containing protein,A0A2V4H8E0_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A2V4H8E0-F1-model_v6.cif
A0A345DZ50,AF-A0A345DZ50-F1,6,95.62,Haloplanus rubicundus,1547898,rpl39e,Large ribosomal subunit protein eL39,A0A345DZ50_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A345DZ50-F1-model_v6.cif
A0A367I6A3,AF-A0A367I6A3-F1,6,96.12,Candidatus Poseidoniales archaeon,2163009,gpmA,"phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",A0A367I6A3_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A367I6A3-F1-model_v6.cif
A0A371MR54,AF-A0A371MR54-F1,6,95.38,Haloferax sp. Atlit-6N,2077205,DEQ92_21990,Ferredoxin,A0A371MR54_9EURY,46,https://alphafold.ebi.ac.uk/files/AF-A0A371MR54-F1-model_v6.cif
A0A371MRP4,AF-A0A371MRP4-F1,6,95.12,Haloferax sp. Atlit-6N,2077205,DEQ92_21060,Cysteine methyltransferase,A0A371MRP4_9EURY,39,https://alphafold.ebi.ac.uk/files/AF-A0A371MRP4-F1-model_v6.cif
A0A371MS07,AF-A0A371MS07-F1,6,95.81,Haloferax sp. Atlit-6N,2077205,DEQ92_20910,Diaminopimelate decarboxylase,A0A371MS07_9EURY,43,https://alphafold.ebi.ac.uk/files/AF-A0A371MS07-F1-model_v6.cif
A0A371MSL8,AF-A0A371MSL8-F1,6,97.25,Haloferax sp. Atlit-6N,2077205,DEQ92_22055,Cell division protein,A0A371MSL8_9EURY,44,https://alphafold.ebi.ac.uk/files/AF-A0A371MSL8-F1-model_v6.cif
A0A371MTC3,AF-A0A371MTC3-F1,6,96.75,Haloferax sp. Atlit-6N,2077205,DEQ92_20865,Chromosome segregation protein,A0A371MTC3_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A371MTC3-F1-model_v6.cif
A0A3A5VK63,AF-A0A3A5VK63-F1,6,95.0,Candidatus Poseidoniales archaeon,2163009,DWC01_05900,Carboxypeptidase M32,A0A3A5VK63_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A3A5VK63-F1-model_v6.cif
A0A3A5VSI2,AF-A0A3A5VSI2-F1,6,96.0,Candidatus Poseidoniales archaeon,2163009,DWC00_05865,ATP:cob(I)alamin adenosyltransferase,A0A3A5VSI2_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A3A5VSI2-F1-model_v6.cif
A0A3A5W4U3,AF-A0A3A5W4U3-F1,6,95.25,Candidatus Poseidoniales archaeon,2163009,DWC10_06115,Riboflavin synthase,A0A3A5W4U3_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A3A5W4U3-F1-model_v6.cif
A0A3A5WVH7,AF-A0A3A5WVH7-F1,6,95.75,Candidatus Poseidoniales archaeon,2163009,DWC11_05135,5-(Carboxyamino)imidazole ribonucleotide mutase,A0A3A5WVH7_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A3A5WVH7-F1-model_v6.cif
A0A3M0CXD9,AF-A0A3M0CXD9-F1,6,95.31,Haloplanus aerogenes,660522,rpl39e,Large ribosomal subunit protein eL39,A0A3M0CXD9_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A3M0CXD9-F1-model_v6.cif
A0A3M1LFP0,AF-A0A3M1LFP0-F1,6,95.69,Nitrososphaerota archaeon,2026795,D6752_06050,PIN domain nuclease,A0A3M1LFP0_UNCNO,42,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LFP0-F1-model_v6.cif
A0A3M1LH11,AF-A0A3M1LH11-F1,6,95.56,Nitrososphaerota archaeon,2026795,D6752_06430,YjbQ family protein,A0A3M1LH11_UNCNO,34,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LH11-F1-model_v6.cif
