protein_id,element,n_residues,moran_i,note
A0A075G8S5,1,49,-0.106458764670125,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G8S5,6,49,0.829480165952684,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G8S5,16,5,-0.00390303043563426,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G8S5,8,49,0.170960498708724,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G9H6,7,44,0.126789400390345,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G9H6,1,44,-0.268866515646746,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G9H6,6,44,-0.207313600333227,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G9H6,16,5,-0.726645808353437,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G9H6,8,44,-0.195238873163836,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBG4,7,42,0.766842867908085,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBG4,1,42,0.211900862735814,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBG4,6,42,0.850440246534958,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBG4,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBG4,8,42,-0.185977812343491,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBP5,7,45,0.0825328800906778,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBP5,1,45,-0.234504956648498,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBP5,6,45,0.695315980560109,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBP5,16,5,-0.539907561695877,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GBP5,8,45,-0.461160546639652,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GJJ0,7,47,0.130948779615907,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GJJ0,1,47,0.0703850209635432,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GJJ0,6,47,0.629400956397072,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GJJ0,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GJJ0,8,47,-0.280187785041653,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GL14,7,47,0.253184835047239,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GL14,1,47,0.0646204929920935,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GL14,6,47,0.0497701273195911,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GL14,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GL14,8,47,-0.33715457329214,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GNQ9,7,44,0.120741403241868,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GNQ9,1,44,-0.343735699071715,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GNQ9,6,44,-0.0444481883531499,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GNQ9,16,5,-0.751315192488525,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GNQ9,8,44,-0.109826119342574,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GPI2,7,50,0.177531631629309,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GPI2,1,50,0.0170240446465654,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GPI2,6,50,-0.0837281356403905,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GPI2,16,5,0.0857983943615371,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GPI2,8,50,-0.0149565888569387,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GT79,7,44,0.113092591968709,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GT79,1,44,-0.123016007791603,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GT79,6,44,0.0624775882379867,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GT79,16,5,-0.723047294534761,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075GT79,8,44,0.246413715807791,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H126,7,44,0.130567747663693,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H126,1,44,0.0659935593492037,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H126,6,44,-0.174621059615113,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H126,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H126,8,44,-0.589041153394278,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H1U6,7,43,0.00195065524138659,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H1U6,1,43,0.0535627997455942,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H1U6,6,43,-0.0457424774313548,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H1U6,16,4,-0.368405792041793,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075H1U6,8,43,0.0360025344759441,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HED3,7,50,-0.12656308534531,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HED3,1,50,0.0131004965622282,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HED3,6,50,0.14333387676528,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HED3,16,5,-0.0348171467091939,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HED3,8,50,-0.179489163611113,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HHM8,7,42,0.0874189603458089,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HHM8,1,42,0.0172317390253295,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HHM8,6,42,0.0472379642600159,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HHM8,16,4,-0.129892457208228,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HHM8,8,42,-0.153600178219465,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HJ46,7,50,0.495587956776793,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HJ46,1,50,0.000322219177358625,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HJ46,6,50,-0.0622129548633154,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HJ46,16,5,-0.277684929843189,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HJ46,8,50,-0.0413096614253015,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HVM8,7,50,-0.161528440364154,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HVM8,1,50,0.058815110011338,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HVM8,6,50,0.819967659165032,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HVM8,16,5,-0.0928357964630453,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075HVM8,8,50,-0.160924930870167,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I1Q2,7,42,0.146246726520719,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I1Q2,1,42,-0.0548407949182703,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I1Q2,6,42,0.410446177676252,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I1Q2,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I1Q2,8,42,0.394531018208872,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I3Q2,7,42,0.153626322299666,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I3Q2,1,42,-0.178725988400309,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I3Q2,6,42,0.212503928029183,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I3Q2,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I3Q2,8,42,-0.0562705276059849,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I6E0,7,42,0.102566547414721,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I6E0,1,42,-0.142692677710343,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I6E0,6,42,0.217608827477306,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I6E0,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I6E0,8,42,0.0216396408603363,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I8Y7,7,42,0.102374826395113,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I8Y7,1,42,-0.174777170432423,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I8Y7,6,42,0.695754598254733,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I8Y7,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I8Y7,8,42,0.139227057294115,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9N7,7,48,-0.089431139467499,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9N7,1,48,-0.0572902370811684,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9N7,6,48,0.859334894938989,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9N7,16,4,0.179501713424181,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9N7,8,48,-0.0938461670238406,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9Q6,7,43,-0.199864567598509,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9Q6,1,43,-0.22001384285318,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9Q6,6,43,-0.178325762079254,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9Q6,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075I9Q6,8,43,0.109441076976282,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087RU44,7,24,0.249548247634577,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087RU44,1,24,-0.104731572253006,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087RU44,6,24,-0.327551997835647,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087RU44,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087RU44,8,24,-0.0548996605190904,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087S4K0,7,42,0.0102701718063873,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087S4K0,1,42,0.213888424834069,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087S4K0,6,42,0.154285700362236,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A087S4K0,8,42,-0.476643205894018,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F2L3J9,7,44,0.0142684133922749,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F2L3J9,1,44,0.0711708045184827,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F2L3J9,6,44,0.529874677630358,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F2L3J9,16,5,0.180139326205083,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F2L3J9,8,44,-0.0453262479719204,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8EH70,7,41,-0.00295811878274096,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8EH70,1,41,-0.0395600839875998,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8EH70,6,41,0.719193074919547,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8EH70,16,6,-0.280198325521933,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8EH70,8,41,0.529310363849576,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8MQP1,7,41,-0.167196917113022,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8MQP1,1,41,0.0292058298502132,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8MQP1,6,41,-0.307292815746194,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8MQP1,16,6,-0.149490639560155,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0F8MQP1,8,41,-0.031445980662075,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U2L4M8,7,36,-0.121349039816173,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U2L4M8,1,36,-0.128253996230062,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U2L4M8,6,36,0.469435961638957,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U2L4M8,16,6,-0.601404185344562,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U2L4M8,8,36,-0.173968932852423,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U3H9J4,7,40,0.168977227064715,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U3H9J4,1,40,0.171942173334112,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U3H9J4,6,40,0.415251211018584,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U3H9J4,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A0U3H9J4,8,40,-0.389074371886243,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DYV5,7,41,0.315829128704305,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DYV5,1,41,0.300556292408305,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DYV5,6,41,-0.11549052263397,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DYV5,8,41,0.302767532888089,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DZD3,7,33,0.0827173968309459,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DZD3,1,33,0.00118983189974246,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DZD3,6,33,-0.015219192906151,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101DZD3,8,33,0.252323025372884,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101E0G0,7,40,0.184678106453967,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101E0G0,1,40,0.215864238316484,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101E0G0,6,40,0.00939588707705889,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101E0G0,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101E0G0,8,40,0.229719612070155,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GKX7,7,45,0.167973439997561,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GKX7,1,45,-0.0476974262989411,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GKX7,6,45,0.322677882281125,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GKX7,8,45,-0.0320944474753769,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GND4,7,29,0.349725378296098,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GND4,1,29,-0.215358920720493,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GND4,6,29,0.31135274763514,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GND4,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101GND4,8,29,0.00971578711181243,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101IR95,7,50,0.182429416839924,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101IR95,1,50,-0.117691648614796,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101IR95,6,50,0.285800579977836,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101IR95,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101IR95,8,50,-0.0895283114000412,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101ISX8,7,32,0.182458138650085,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101ISX8,1,32,-0.0927782085012393,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101ISX8,6,32,0.00576410134665545,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101ISX8,16,3,-0.899319078927391,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A101ISX8,8,32,0.00127697760323749,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117LQ45,7,32,0.115752756175027,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117LQ45,1,32,-0.118719354103961,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117LQ45,6,32,0.0618068124182888,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117LQ45,8,32,-0.277447575294984,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MEV4,7,38,0.25916974570626,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MEV4,1,38,-0.128175000946807,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MEV4,6,38,0.762146227953052,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MEV4,16,3,-0.921937193710429,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MEV4,8,38,0.0706786186936385,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MF79,7,47,0.229930778035084,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MF79,1,47,0.739994818068372,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MF79,6,47,0.176229775310522,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MF79,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A117MF79,8,47,-0.107515282521328,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A124F7Z6,7,41,0.278378681659941,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A124F7Z6,1,41,0.117903162168107,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A124F7Z6,6,41,0.208591489206485,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A124F7Z6,8,41,-0.388194974315214,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A126QX97,7,44,0.19543351455451,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A126QX97,1,44,-0.232800656344333,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A126QX97,6,44,0.554488419514646,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A126QX97,16,6,-0.00424102883217013,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A126QX97,8,44,-0.0248795663334242,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A139CG29,7,37,0.423915813145435,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A139CG29,1,37,0.625798897539574,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A139CG29,6,37,-0.142543680437677,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A139CG29,16,2,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A139CG29,8,37,-0.198091553246315,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1C8ZW37,7,50,-0.197314863643224,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1C8ZW37,1,50,-0.146751315872689,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1C8ZW37,6,50,0.0919488580311295,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1C8ZW37,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1C8ZW37,8,50,-0.582289232877265,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G6L254,7,44,0.368481205991514,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G6L254,1,44,-0.182185446038133,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G6L254,6,44,-0.352462180618304,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G6L254,16,6,-0.398430246604143,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G6L254,8,44,-0.266704534169072,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G7QZ38,7,49,0.0366564988270944,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G7QZ38,1,49,0.307731065269167,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G7QZ38,6,49,-0.196319518736025,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G7QZ38,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1G7QZ38,8,49,-0.751968837888895,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1H1EH39,7,50,-0.077149282670669,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1H1EH39,1,50,-0.198608128615376,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1H1EH39,6,50,0.522094945891142,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1H1EH39,16,3,-0.349458709776843,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1H1EH39,8,50,-0.283428374746843,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1I0QAW8,7,50,-0.0946443299249341,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1I0QAW8,1,50,-0.0468465931198623,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1I0QAW8,6,50,0.25963277068965,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1I0QAW8,16,4,-0.439118807271314,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1I0QAW8,8,50,-0.507664602050643,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L3Q2M2,7,40,-0.0823625016296615,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L3Q2M2,1,40,0.024495715943411,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L3Q2M2,6,40,0.265355815617617,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L3Q2M2,16,7,-0.416702329915969,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L3Q2M2,8,40,-0.209403705265187,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L9C4R6,7,40,-0.144090467089367,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L9C4R6,1,40,0.0719860738447223,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A1L9C4R6,6,40,0.772474703928698,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
