structure_id,residues,atoms,afdb_accession
A0A6V8EWP6,50,775,
A0A6V8EXG4,50,774,
A0A7C0XQX0,48,805,
A0A7C0XZN5,48,768,
A0A7C0Y320,36,557,
A0A7C1BUZ8,31,476,
A0A7C1M065,35,549,
A0A7C1M999,49,779,
A0A7C1R072,42,643,
A0A7C1R7R2,45,683,
A0A7C2AFH7,39,630,
A0A7C2DAU6,31,507,
A0A7C2GI08,42,638,
A0A7C2L465,41,627,
A0A7C2QK30,49,816,
A0A7C2QRH1,50,799,
A0A7C2VVD2,43,703,
A0A7C3M2E6,40,669,
A0A7C3QTI1,44,703,
A0A7C3S3R7,40,616,
A0A7C3S9L1,48,710,
A0A7C3SKL2,47,760,
A0A7C3SL62,39,643,
A0A7C3SRL8,37,533,
A0A7C3TX69,33,547,
A0A7C3V221,32,472,
A0A7C3V662,47,727,
A0A7C3V6M1,40,611,
A0A7C3VBE0,42,715,
A0A7C3VLX4,42,630,
A0A7C3WCV6,41,649,
A0A7C3YB50,42,652,
A0A7C4BA98,46,711,
A0A7C4BAF9,38,547,
A0A7C4BEL2,49,775,
A0A7C4C6T0,49,819,
A0A7C4C740,42,735,
A0A7C4CKX8,46,729,
A0A7C4CNR5,26,453,
A0A7C4CNU0,42,639,
A0A7C4CQ25,47,723,
A0A7C4CRC4,49,766,
A0A7C4CV75,40,661,
A0A7C4CVP5,39,625,
A0A7C4D0G5,41,690,
A0A7C4D0I2,45,706,
A0A7C4D0Z0,50,799,
A0A7C4D2B3,38,602,
A0A7C4D2X1,43,639,
A0A7C4D3B7,42,657,
A0A7C4D481,44,797,
A0A7C4D4U5,39,604,
A0A7C4DB51,42,654,
A0A7C4DVK1,48,784,
A0A7C4DZ89,43,672,
A0A7C4F165,46,703,
A0A7C4FBN7,48,744,
A0A7C4FEM6,38,596,
A0A7C4GES3,35,564,
A0A7C4GGW0,36,529,
A0A7C4GN29,32,482,
A0A7C4GR21,48,799,
A0A7C4GSI3,44,665,
A0A7C4GSQ4,29,460,
A0A7C4GW05,33,552,
A0A7C4H0M2,49,795,
A0A7C4H515,33,550,
A0A7C4H7N1,37,608,
A0A7C4HAL7,41,591,
A0A7C4HDC8,38,579,
A0A7C4HL71,49,791,
A0A7C4HU33,42,688,
A0A7C4HZJ5,45,752,
A0A7C4JB99,47,759,
A0A7C4JMT3,47,727,
A0A7C4JNN4,39,607,
A0A7C4KXK7,48,793,
A0A7C4M5D4,44,679,
A0A7C4M8L5,45,667,
A0A7C4M8N8,50,781,
A0A7C4MCQ5,42,662,
A0A7C4MCW4,39,597,
A0A7C4MFI0,40,714,
A0A7C4NC93,48,734,
A0A7C4NEZ2,49,758,
A0A7C4NIQ4,50,846,
A0A7C4NIY2,38,613,
A0A7C4NQE1,40,666,
A0A7C4PVJ1,41,655,
A0A7C4PZ72,42,644,
A0A7C4Q0N0,42,670,
A0A7C4R5B6,42,665,
A0A7C4R964,46,682,
A0A7C4RCS8,42,632,
A0A7C4S1G2,50,771,
A0A7C4S653,48,813,
A0A7C4S8S6,44,686,
A0A7C4THQ3,45,747,
A0A7C4TUE3,39,607,
A0A7C4VDL7,35,547,
A0A7C4VJN0,39,608,
A0A7C4VQX9,48,779,
A0A7C4W5I9,36,593,
A0A7C4W7X4,39,605,
A0A7C4WIF3,42,688,
A0A7C4XD95,50,753,
A0A7C4XSG8,38,589,
A0A7C4ZS34,47,763,
A0A7C5A9M3,49,847,
A0A7C5BHP9,41,721,
A0A7C5FAR6,35,543,
A0A7C5IX38,34,563,
A0A7C5K1Z9,38,600,
A0A7C5N6U4,46,680,
A0A7C5T4J2,49,837,
A0A7C5T765,35,536,
A0A7C5T7W6,35,531,
A0A7C5TFR7,40,707,
A0A7C5TK25,49,750,
A0A7C5U1D8,46,756,
A0A7C5U2B7,44,696,
A0A7C5U5Q9,38,579,
A0A7C5U7X1,30,512,
A0A7C5VQ90,36,572,
A0A7C5X1V8,34,541,
A0A7C5X2V4,48,828,
A0A7C5XHQ0,43,666,
A0A7C5XHS9,41,645,
A0A7C5XJ97,39,664,
A0A7C5XNL1,50,753,
A0A7C5XTQ5,50,806,
A0A7C5Y238,40,590,
A0A7C5Y7Y0,39,620,
A0A7C5YCQ1,40,615,
A0A7C5YSG7,34,548,
A0A7C5ZRH2,36,551,
A0A7C5ZT79,47,708,
A0A7C6AIW3,46,713,
A0A7C6DX77,41,645,
A0A7C6E4A0,41,626,
A0A7C6FRR6,41,653,
A0A7C7CNG0,40,603,
A0A7C7GE12,46,680,
A0A7C7GIG1,34,512,
A0A7C7MPZ4,32,480,
A0A7C7PIY6,46,700,
A0A7C7PPS5,50,758,
A0A7C7PU94,40,594,
A0A7C7TZQ8,50,755,
A0A7C7Y7G9,38,606,
A0A7G9Y4P4,48,765,
A0A7G9YHQ3,37,524,
A0A7G9YP81,46,667,
A0A7G9YP82,37,541,
A0A7G9YXX7,45,680,
A0A7G9Z2P5,48,779,
A0A7G9Z8V8,47,769,
A0A7G9ZD30,45,661,
A0A7G9ZD32,45,653,
A0A7H1KP24,48,765,
A0A7J2H756,49,776,
A0A7J2IPL3,45,757,
A0A7J2IQR4,46,696,
A0A7J2ISG1,41,683,
A0A7J2LST6,38,633,
A0A7J2MF60,43,678,
A0A7J2MGK5,32,473,
A0A7J2MGV4,50,765,
A0A7J2MHH4,44,665,
A0A7J2PVB2,50,850,
A0A7J2PZK0,48,821,
A0A7J2QZC8,44,696,
A0A7J2R6L5,40,619,
A0A7J2R8L4,40,606,
A0A7J2T743,37,595,
A0A7J2TJN1,35,521,
A0A7J2TN26,38,604,
A0A7J2TXK4,44,694,
A0A7J2UQV7,42,604,
A0A7J2V0Z7,42,648,
A0A7J2V9U9,33,547,
A0A7J2VBC6,44,687,
A0A7J2VTQ0,42,769,
A0A7J2VWF2,42,771,
A0A7J2WFC1,42,649,
A0A7J2Y502,37,590,
A0A7J2Y6X9,28,444,
A0A7J2YMB9,45,631,
A0A7J2Z0G0,47,746,
A0A7J2ZCD7,45,719,
A0A7J2ZIP3,45,716,
A0A7J2ZM04,34,499,
A0A7J3AC04,48,730,
A0A7J3ADC8,39,632,
A0A7J3B0X2,26,444,
A0A7J3B843,48,777,
A0A7J3BC48,43,679,
A0A7J3BD52,42,646,
A0A7J3BEY8,31,469,
A0A7J3C7I1,36,543,
A0A7J3CJ29,40,687,
A0A7J3D6Q8,42,674,
A0A7J3D8F9,39,616,
A0A7J3D9G8,48,807,
A0A7J3DAY3,38,612,
A0A7J3DNK5,44,840,
A0A7J3EGB7,35,601,
A0A7J3ELT1,50,759,
A0A7J3EMJ0,48,762,
A0A7J3F9X2,39,582,
A0A7J3FAQ0,47,747,
A0A7J3FC68,45,708,
A0A7J3FC71,50,742,
A0A7J3FCW3,38,546,
A0A7J3GV54,50,767,
A0A7J3HB40,50,792,
A0A7J3HP86,48,702,
A0A7J3HPJ8,35,568,
A0A7J3I0Z5,34,547,
A0A7J3I3M4,39,611,
A0A7J3I437,34,500,
A0A7J3I6Q7,46,735,
A0A7J3IA32,42,670,
A0A7J3IFT0,40,620,
A0A7J3IY93,49,772,
A0A7J3J0Q3,36,489,
A0A7J3J2N7,38,611,
A0A7J3J3L3,45,691,
A0A7J3JCS0,39,588,
A0A7J3KAV9,49,770,
A0A7J3LWS6,35,539,
A0A7J3LXD3,48,815,
A0A7J3LYC8,35,604,
A0A7J3M1M9,33,576,
A0A7J3M2B2,39,614,
A0A7J3M345,43,666,
A0A7J3M4E2,42,666,
A0A7J3M654,35,517,
A0A7J3MGX5,47,852,
A0A7J3MYD0,46,683,
A0A7J3MZ99,45,662,
A0A7J3P4N5,37,645,
A0A7J3PA89,47,700,
A0A7J3QFR6,46,732,
A0A7J3QSA6,50,810,
A0A7J3QSZ4,48,838,
A0A7J3QT08,41,635,
A0A7J3QT34,49,718,
A0A7J3QTT3,46,729,
A0A7J3QYA8,34,519,
A0A7J3R097,37,610,
A0A7J3S713,49,792,
A0A7J3SZL7,39,609,
A0A7J3T0Q9,47,716,
A0A7J3TGH2,36,572,
A0A7J3TX92,49,791,
A0A7J3TXK2,45,718,
A0A7J3UYK2,38,615,
A0A7J3W5A3,44,705,
A0A7J3W5T9,40,652,
A0A7J3W6K5,38,620,
A0A7J3W6T1,33,553,
A0A7J3W7Q6,49,766,
A0A7J3W909,41,653,
A0A7J3WCY0,39,615,
A0A7J3WZ86,44,722,
A0A7J3XGR4,37,616,
A0A7J3XUF5,48,765,
A0A7J3XUT2,40,625,
A0A7J3ZAE1,45,706,
A0A7J3ZM45,48,762,
A0A7J3ZQ93,39,597,
A0A7J4B0F6,41,667,
A0A7J4B2F1,45,673,
A0A7J4BA39,46,716,
A0A7J4BAQ2,41,608,
A0A7J4EKQ9,38,578,
A0A7J4FTH4,40,630,
A0A7J4FUL6,38,545,
A0A7J4G0F4,47,718,
A0A7J4NWE9,40,581,
A0A7J9SMA8,48,789,
A0A7J9SPI1,40,583,
A0A7K3Y6W1,31,483,
A0A7K3YIN1,45,616,
A0A7K4GQA7,44,668,
A0A7K4NEG8,44,672,
A0A7K4NF07,49,764,
A0A7L4QJ31,38,537,
A0A7M3SGS7,46,711,
A0A7M3SKX7,34,498,
A0A7M3W8C7,49,732,
A0A7M3WGX1,40,617,
A0A7M3WHN5,32,469,
A0A7M3WSQ7,33,436,
A0A7M3WYC8,42,637,
A0A7M3X120,47,686,
A0A7M3X1A0,40,667,
A0A7M3X379,42,634,
A0A7M3X6H7,37,620,
A0A7M3XQK6,29,424,
A0A7M3XRS6,40,548,
A0A7M3XTS2,49,754,
A0A7M3XVG2,46,682,
A0A7M3XVL2,48,698,
A0A7M3XYR1,42,665,
A0A7M3XZU0,36,556,
A0A7M3YDZ0,46,697,
A0A7M3YIS4,50,725,
A0A7M3YK94,47,739,
A0A7M3YPB3,25,356,
A0A7M3YUC1,50,757,
A0A7M3Z7R6,49,726,
A0A7M3Z7W4,43,610,
A0A7M3ZAB9,48,713,
A0A7M3ZI84,40,595,
A0A7M3ZII4,38,578,
A0A7M3ZZV4,50,747,
A0A7M4A1E0,32,505,
A0A7M4A5Q8,43,649,
A0A7M4AAC8,46,684,
A0A7M4AP21,48,794,
A0A811T5J5,45,672,
A0A811TB18,45,673,
A0A811TBK2,38,635,
A0A811TE36,45,669,
A0A812A2F1,48,722,
A0A822IIB9,46,688,
A0A822IKI2,33,528,
A0A822ILJ2,36,543,
A0A822IN67,48,715,
A0A822IR84,44,693,
A0A822IUL2,42,649,
A0A831V7D1,48,689,
A0A831VDP7,44,703,
A0A831YJC5,44,689,
A0A832DFU9,47,738,
A0A832VUI6,28,402,
A0A832Y0B8,48,707,
A0A832YEZ8,46,660,
A0A842Q616,30,485,
A0A842Y7E2,40,581,
A0A843BFT9,50,778,
A0A843CAZ7,48,780,
A0A849PHU7,37,531,
A0A849PJP1,43,708,
A0A849PLI1,37,526,
A0A8J7XH87,42,653,
A0A8J8C3Q5,48,752,
A0A8J8DHJ8,44,698,
A0A8S8Y833,47,688,
A0A8S8YJI6,36,519,
A0A8S8YVN2,48,700,
A0A8T4DH60,46,692,
A0A8T5JI94,45,755,
A0A8T5KDM7,38,563,
A0A8T6SHV5,33,510,
A0A8T6TUW3,33,561,
A0A8T6U953,49,735,
A0A8T6UP66,50,713,
A0A8T6WDJ4,33,510,
A0A8T6XLB1,44,680,
A0A949JHM8,50,799,
A1TJT8,37,641,
A1TYL8,37,633,
A1V881,38,650,
A1VES0,44,780,
A1WVA1,37,642,
A2S7J8,38,650,
A3MRX6,38,650,
A3P091,38,650,
A4VHQ1,38,649,
A4WFA7,38,648,
A5CCQ4,41,721,
A5FMZ9,38,681,
A5FRW8,37,623,
A5GN09,45,802,
A5GRN4,45,801,
A6QCS0,37,643,
A6W371,37,638,
A7MPF5,38,645,
A7MWH9,37,634,
A7ZSI8,38,645,
A8A5A4,38,645,
A8ETK2,37,652,
A9ADL5,38,650,
B1GZA6,37,635,
B1IQ00,38,645,
B1JIY2,38,644,
B1JU44,38,650,
B1LHB3,38,645,
B1WWJ3,45,782,
B1X6F1,38,645,
B3CQF1,41,721,
B5FGD7,37,639,
B8DP14,45,800,
B8GV37,37,638,
B8HR51,45,783,
C0HLA1,30,441,
C6C1A7,37,651,
H0AEA3,34,534,
I7CSI0,50,868,
M0B978,50,868,
M0BL78,35,478,
M1P6N2,41,600,
O96797,34,536,
P00273,37,534,
P0A404,31,505,
P0A497,37,634,
P0A7R0,38,645,
P17684,21,347,
P80502,40,614,
P83867,21,323,
P84337,24,412,
P84477,22,351,
P84807,29,489,
P86498,23,354,
Q0ABF4,37,628,
Q0T003,38,645,
Q0TCG2,38,645,
Q0VSI2,38,650,
Q1BRX0,38,650,
Q1R632,38,645,
Q1XDA2,34,553,
Q21M37,38,660,
Q21QP5,37,633,
Q2JHS2,46,816,
Q2JI37,30,451,
Q2JT51,30,442,
Q30TS7,37,646,
Q318K4,38,681,
Q31VX7,38,645,
Q32B52,38,645,
Q3AM28,45,798,
Q3AV42,45,805,
Q3YWW0,38,645,
Q3Z957,37,623,
Q3ZZQ0,37,623,
Q46501,37,651,
Q47J81,37,656,
Q4A8J4,37,671,
Q4AAG3,37,671,
Q4G392,45,769,
Q5E893,37,639,
Q5L8D2,38,685,
Q5N606,45,778,
Q62GM7,38,650,
Q661C1,37,659,
Q664U2,38,644,
Q6B8L0,34,544,
Q6KI32,38,646,
Q6YQZ8,38,683,
Q72D55,44,780,
Q73PL1,37,634,
Q7MTN6,38,690,
Q8ZJ91,38,644,
Q98Q05,37,646,
Q9TLX5,30,479,
Q9UR66,21,321,
U1PBV3,47,721,
