BMRB_ID	PDB_ID	RESOLUTION	SEQ_IDENTITY	SEQ_LENGTH	SEQ_OFFSET	HA	CA	CB	CO	N	HN	AVG_CORR	HA_CORR	CA_CORR	CB_CORR	CO_CORR	N_CORR	HN_CORR	HA_RMSD	CA_RMSD	CB_RMSD	CO_RMSD	N_RMSD	HN_RMSD	HA_CSDIFF	CA_CSDIFF	CB_CSDIFF	CO_CSDIFF	N_CSDIFF	HN_CSDIFF
bmr55	2PLH_	2.50	100.0	45	0						1	0.669	0.794	N/A	N/A	N/A	N/A	0.543	0.142	N/A	N/A	N/A	N/A	0.377	0.01	N/A	N/A	N/A	N/A	-0.11
bmr60	1HOE_	2.00	100.0	74	0	1					1	0.812	0.867	N/A	N/A	N/A	N/A	0.758	0.148	N/A	N/A	N/A	N/A	0.271	-0.03	N/A	N/A	N/A	N/A	0.07
bmr62	2H76A	2.25	99.0	101	0	1					1	0.851	0.921	N/A	N/A	N/A	N/A	0.781	0.136	N/A	N/A	N/A	N/A	0.327	-0.06	N/A	N/A	N/A	N/A	0.01
bmr66	1DTK_	NMR	100.0	57	0	1					1	0.835	0.900	N/A	N/A	N/A	N/A	0.769	0.156	N/A	N/A	N/A	N/A	0.376	0.00	N/A	N/A	N/A	N/A	0.10
bmr68	2D3GB	1.70	100.0	76	0	1					1	0.827	0.908	N/A	N/A	N/A	N/A	0.745	0.112	N/A	N/A	N/A	N/A	0.302	-0.01	N/A	N/A	N/A	N/A	0.12
bmr79	1AG6_	1.60	99.0	99	0	1					1	0.768	0.881	N/A	N/A	N/A	N/A	0.655	0.148	N/A	N/A	N/A	N/A	0.380	0.01	N/A	N/A	N/A	N/A	0.13
bmr80	1ATX_	NMR	100.0	46	0	1					1	0.625	0.717	N/A	N/A	N/A	N/A	0.534	0.147	N/A	N/A	N/A	N/A	0.428	-0.04	N/A	N/A	N/A	N/A	-0.27
bmr96	1L1MB	NMR	100.0	51	0	1					1	0.738	0.849	N/A	N/A	N/A	N/A	0.627	0.123	N/A	N/A	N/A	N/A	0.261	-0.02	N/A	N/A	N/A	N/A	-0.20
bmr114	2CRD_	NMR	100.0	36	1	1					1	0.710	0.715	N/A	N/A	N/A	N/A	0.706	0.122	N/A	N/A	N/A	N/A	0.256	-0.07	N/A	N/A	N/A	N/A	0.03
bmr162	1MOXC	2.50	100.0	49	1	1					1	0.626	0.696	N/A	N/A	N/A	N/A	0.556	0.159	N/A	N/A	N/A	N/A	0.343	-0.03	N/A	N/A	N/A	N/A	-0.03
bmr192	1CBH_	NMR	100.0	36	0	1					1	0.748	0.699	N/A	N/A	N/A	N/A	0.798	0.191	N/A	N/A	N/A	N/A	0.322	0.02	N/A	N/A	N/A	N/A	-0.12
bmr193	1EDN_	2.18	100.0	21	0	1					1	0.314	0.105	N/A	N/A	N/A	N/A	0.523	0.210	N/A	N/A	N/A	N/A	0.423	0.18	N/A	N/A	N/A	N/A	0.15
bmr194	1EDN_	2.18	100.0	21	0	1					1	0.335	0.123	N/A	N/A	N/A	N/A	0.546	0.189	N/A	N/A	N/A	N/A	0.467	0.16	N/A	N/A	N/A	N/A	0.14
bmr196	1CBH_	NMR	100.0	36	0	1					1	0.750	0.701	N/A	N/A	N/A	N/A	0.798	0.173	N/A	N/A	N/A	N/A	0.339	0.03	N/A	N/A	N/A	N/A	-0.16
bmr199	1PPEI	2.00	96.6	29	0	1					1	0.799	0.886	N/A	N/A	N/A	N/A	0.712	0.106	N/A	N/A	N/A	N/A	0.294	-0.00	N/A	N/A	N/A	N/A	0.06
bmr237					0	1						0.300	0.300	0.000	0.000	0.000	0.000	0.000	0.948	0.000	0.000	0.000	0.000	0.000	0.05	0.00	0.00	0.00	0.00	0.00
bmr246	1MOXC	2.50	100.0	49	1	1					1	0.602	0.730	N/A	N/A	N/A	N/A	0.474	0.155	N/A	N/A	N/A	N/A	0.384	0.01	N/A	N/A	N/A	N/A	-0.09
bmr247	4ICB_	1.60	100.0	76	0	1					1	0.851	0.920	N/A	N/A	N/A	N/A	0.782	0.130	N/A	N/A	N/A	N/A	0.281	-0.01	N/A	N/A	N/A	N/A	-0.08
bmr248	1T2YA	NMR	100.0	25	0	1					1	0.384	0.652	N/A	N/A	N/A	N/A	0.116	0.156	N/A	N/A	N/A	N/A	0.495	-0.12	N/A	N/A	N/A	N/A	-0.14
bmr256	2HSHA	1.35	97.1	104	-1	1					1	0.853	0.944	N/A	N/A	N/A	N/A	0.762	0.103	N/A	N/A	N/A	N/A	0.291	-0.09	N/A	N/A	N/A	N/A	0.04
bmr257	2HSHA	1.35	98.1	105	0	1					1	0.853	0.943	N/A	N/A	N/A	N/A	0.762	0.102	N/A	N/A	N/A	N/A	0.293	-0.09	N/A	N/A	N/A	N/A	0.03
bmr260	9PCY_	NMR	100.0	99	0	1					1	0.725	0.835	N/A	N/A	N/A	N/A	0.615	0.169	N/A	N/A	N/A	N/A	0.378	-0.06	N/A	N/A	N/A	N/A	0.15
bmr262	9PTI_	1.22	100.0	58	0	1			1			0.789	N/A	N/A	N/A	0.789	N/A	N/A	N/A	N/A	N/A	0.896	N/A	N/A	N/A	N/A	N/A	1.49	N/A	N/A
bmr263	9PTI_	1.22	96.4	56	2	1			1			0.785	0.000	0.000	0.000	0.785	0.000	0.000	0.000	0.000	0.000	1.170	0.000	0.000	0.00	0.00	0.00	1.51	0.00	0.00
bmr264	1B0CC	2.80	100.0	56	0	1		1	1			0.832	0.000	0.000	nan	0.832	0.000	0.000	0.000	0.000	nan	1.095	0.000	0.000	0.00	0.00	nan	1.62	0.00	0.00
bmr274	1WEJF	1.80	100.0	104	0	1					1	0.567	0.596	N/A	N/A	N/A	N/A	0.537	0.197	N/A	N/A	N/A	N/A	0.414	-0.02	N/A	N/A	N/A	N/A	-0.16
bmr275	1SH1_	NMR	100.0	48	0	1					1	0.602	0.719	N/A	N/A	N/A	N/A	0.485	0.175	N/A	N/A	N/A	N/A	0.419	0.07	N/A	N/A	N/A	N/A	-0.13
bmr280	1QE6C	2.35	98.5	67	5	1					1	0.821	0.907	N/A	N/A	N/A	N/A	0.735	0.163	N/A	N/A	N/A	N/A	0.380	-0.08	N/A	N/A	N/A	N/A	-0.01
bmr283	2HXKB	1.65	97.1	102	0					1		0.915	N/A	N/A	N/A	N/A	0.915	N/A	N/A	N/A	N/A	N/A	1.278	N/A	N/A	N/A	N/A	N/A	-0.15	N/A
bmr284	2IFQC	1.20	99.0	103	-1					1		0.920	N/A	N/A	N/A	N/A	0.920	N/A	N/A	N/A	N/A	N/A	1.253	N/A	N/A	N/A	N/A	N/A	-0.09	N/A
bmr287	1NER_	NMR	100.0	69	0	1				1	1	0.665	0.639	N/A	N/A	N/A	0.785	0.571	0.189	N/A	N/A	N/A	2.064	0.410	-0.03	N/A	N/A	N/A	0.06	-0.02
bmr294	1EHBA	1.90	95.1	82	0	1					1	0.776	0.864	N/A	N/A	N/A	N/A	0.687	0.160	N/A	N/A	N/A	N/A	0.411	0.04	N/A	N/A	N/A	N/A	0.12
bmr295	1DO9A	NMR	95.1	81	-2	1					1	0.644	0.724	N/A	N/A	N/A	N/A	0.564	0.154	N/A	N/A	N/A	N/A	0.417	0.05	N/A	N/A	N/A	N/A	-0.10
bmr298	1AHL_	NMR	100.0	35	-14	1					1	0.668	0.668	N/A	N/A	N/A	N/A	N/A	0.227	N/A	N/A	N/A	N/A	N/A	-0.02	N/A	N/A	N/A	N/A	N/A
bmr314	1PPEI	2.00	96.6	29	0	1					1	0.725	0.841	N/A	N/A	N/A	N/A	0.609	0.154	N/A	N/A	N/A	N/A	0.333	-0.12	N/A	N/A	N/A	N/A	0.07
bmr325	3ICB_	2.30	100.0	75	1	1					1	0.848	0.906	N/A	N/A	N/A	N/A	0.790	0.141	N/A	N/A	N/A	N/A	0.373	0.03	N/A	N/A	N/A	N/A	-0.20
bmr326	4ICB_	1.60	98.7	76	0	1					1	0.859	0.925	N/A	N/A	N/A	N/A	0.792	0.129	N/A	N/A	N/A	N/A	0.283	-0.02	N/A	N/A	N/A	N/A	-0.09
bmr327	1IGVA	1.85	98.7	75	1	1					1	0.827	0.915	N/A	N/A	N/A	N/A	0.738	0.125	N/A	N/A	N/A	N/A	0.216	-0.02	N/A	N/A	N/A	N/A	-0.05
bmr338	9PTI_	1.22	96.4	56	2	1				1	1	0.863	0.000	0.000	0.000	0.000	0.906	0.819	0.000	0.000	0.000	0.000	1.620	0.306	0.00	0.00	0.00	0.00	0.17	0.18
bmr349	1TPKB	2.40	100.0	88	2	1					1	0.738	0.889	N/A	N/A	N/A	N/A	0.586	0.144	N/A	N/A	N/A	N/A	0.316	-0.03	N/A	N/A	N/A	N/A	-0.00
bmr358	1ATB_	NMR	98.4	62	0	1					1	0.571	0.645	N/A	N/A	N/A	N/A	0.497	0.177	N/A	N/A	N/A	N/A	0.374	-0.11	N/A	N/A	N/A	N/A	0.02
bmr371	1RB4B	1.90	96.8	31	0	1					1	0.662	0.744	N/A	N/A	N/A	N/A	0.580	0.120	N/A	N/A	N/A	N/A	0.202	-0.09	N/A	N/A	N/A	N/A	-0.07
bmr374	1AHL_	NMR	100.0	49	0	1					1	0.609	0.704	N/A	N/A	N/A	N/A	0.515	0.203	N/A	N/A	N/A	N/A	0.452	-0.00	N/A	N/A	N/A	N/A	-0.13
bmr375	1AHL_	NMR	100.0	49	0	1					1	0.603	0.696	N/A	N/A	N/A	N/A	0.511	0.206	N/A	N/A	N/A	N/A	0.422	-0.04	N/A	N/A	N/A	N/A	-0.13
bmr376	2FZ5A	NMR	100.0	137	0	1					1	0.526	0.824	N/A	N/A	N/A	N/A	0.229	0.183	N/A	N/A	N/A	N/A	0.480	-0.01	N/A	N/A	N/A	N/A	0.12
bmr385	1RPG_	1.40	100.0	124	0	1					1	0.810	0.890	0.000	0.000	0.000	0.000	0.731	0.162	0.000	0.000	0.000	0.000	0.294	-0.09	0.00	0.00	0.00	0.00	-0.02
bmr394	1BAZC	1.90	100.0	42	6	1					1	0.717	0.894	N/A	N/A	N/A	N/A	0.540	0.168	N/A	N/A	N/A	N/A	0.269	-0.05	N/A	N/A	N/A	N/A	-0.01
bmr395	1BAZC	1.90	97.8	46	6	1					1	0.704	0.909	N/A	N/A	N/A	N/A	0.499	0.142	N/A	N/A	N/A	N/A	0.271	-0.07	N/A	N/A	N/A	N/A	-0.09
bmr397	1W7ZC	1.67	96.4	28	0	1					1	0.746	0.843	N/A	N/A	N/A	N/A	0.650	0.156	N/A	N/A	N/A	N/A	0.312	-0.11	N/A	N/A	N/A	N/A	0.05
bmr421	1C5A_	NMR	100.0	64	0	1					1	0.552	0.731	N/A	N/A	N/A	N/A	0.373	0.151	N/A	N/A	N/A	N/A	0.305	-0.04	N/A	N/A	N/A	N/A	0.01
bmr434	2NVHA	1.53	95.3	149	3	1				1	1	0.833	0.876	N/A	N/A	N/A	0.852	0.771	0.138	N/A	N/A	N/A	1.701	0.284	-0.01	N/A	N/A	N/A	0.16	0.13
bmr435	2NVHA	1.53	95.3	149	2	1				1	1	0.831	0.873	N/A	N/A	N/A	0.850	0.771	0.139	N/A	N/A	N/A	1.722	0.284	-0.01	N/A	N/A	N/A	0.14	0.13
bmr443	1KF8A	1.15	100.0	124	0	1					1	0.817	0.874	0.000	0.000	0.000	0.000	0.759	0.179	0.000	0.000	0.000	0.000	0.290	-0.02	0.00	0.00	0.00	0.00	0.08
bmr447	1QOGA	1.80	99.0	98	0	1	1	1	1	1	1	0.777	0.730	0.959	0.997	N/A	0.431	0.766	0.153	0.892	0.901	N/A	1.581	0.332	-0.04	1.54	1.62	N/A	-1.28	-0.04
bmr480	1BDS_	NMR	100.0	43	0	1					1	0.581	0.712	N/A	N/A	N/A	N/A	0.450	0.177	N/A	N/A	N/A	N/A	0.344	0.06	N/A	N/A	N/A	N/A	-0.10
bmr485	9PTI_	1.22	100.0	58	0	1				1	1	0.875	N/A	N/A	N/A	N/A	0.912	0.839	N/A	N/A	N/A	N/A	1.384	0.282	N/A	N/A	N/A	N/A	-0.17	0.06
bmr491	1QFNA	NMR	98.8	85	0	1					1	0.715	0.823	N/A	N/A	N/A	N/A	0.607	0.155	N/A	N/A	N/A	N/A	0.317	-0.04	N/A	N/A	N/A	N/A	-0.05
bmr494	1SNM_	1.74	98.5	136	6	1					1	0.702	N/A	N/A	N/A	N/A	N/A	0.702	N/A	N/A	N/A	N/A	N/A	0.378	N/A	N/A	N/A	N/A	N/A	-0.01
bmr495	1F2MA	2.00	97.8	136	5	1						0.916	0.916	N/A	N/A	N/A	N/A	N/A	0.139	N/A	N/A	N/A	N/A	N/A	-0.02	N/A	N/A	N/A	N/A	N/A
bmr496	1STA_	1.70	97.7	133	6	1				1		0.864	N/A	N/A	N/A	N/A	0.864	N/A	N/A	N/A	N/A	N/A	2.021	N/A	N/A	N/A	N/A	N/A	-0.82	N/A
bmr497	2EYOA	1.70	95.5	134	5	1	1	1				0.977	N/A	0.977	N/A	N/A	N/A	N/A	N/A	1.001	N/A	N/A	N/A	N/A	N/A	1.59	N/A	N/A	N/A	N/A
bmr507	1TUS_	NMR	98.2	56	0	1	1	1				0.968	0.000	0.940	0.996	0.000	0.000	0.000	0.000	1.278	1.166	0.000	0.000	0.000	0.00	1.20	1.39	0.00	0.00	0.00
bmr547	1MXEA	1.70	99.3	144	3	1	1		1	1	1	0.902	0.923	0.984	N/A	0.906	0.893	0.804	0.119	0.620	N/A	0.508	1.381	0.251	-0.10	-0.16	N/A	-0.21	-0.63	0.00
bmr554	1ZNIC	1.50	95.2	21	0	1					1	0.779	0.859	N/A	N/A	N/A	N/A	0.699	0.110	N/A	N/A	N/A	N/A	0.218	-0.01	N/A	N/A	N/A	N/A	0.01
bmr555	1GUJB	1.62	100.0	29	0	1					1	0.699	0.863	N/A	N/A	N/A	N/A	0.534	0.115	N/A	N/A	N/A	N/A	0.292	-0.02	N/A	N/A	N/A	N/A	0.10
bmr695	1NOA_	1.50	99.1	113	0	1					1	0.754	0.787	N/A	N/A	N/A	N/A	0.720	0.147	N/A	N/A	N/A	N/A	0.257	-0.09	N/A	N/A	N/A	N/A	-0.01
bmr754	1LBJA	NMR	100.0	22	0	1					1	0.390	0.641	N/A	N/A	N/A	N/A	0.139	0.147	N/A	N/A	N/A	N/A	0.275	-0.17	N/A	N/A	N/A	N/A	0.09
bmr915	1OVHA	1.95	98.2	164	0	1				1	1	0.700	0.903	N/A	N/A	N/A	0.526	0.672	0.124	N/A	N/A	N/A	1.649	0.280	0.01	N/A	N/A	N/A	-1.40	0.01
bmr916	1P6ZN	1.67	100.0	98	6	1					1	0.684	0.752	N/A	N/A	N/A	N/A	0.616	0.143	N/A	N/A	N/A	N/A	0.264	-0.05	N/A	N/A	N/A	N/A	0.01
bmr932	2HPR_	2.00	97.7	86	0	1					1	0.839	0.928	N/A	N/A	N/A	N/A	0.749	0.132	N/A	N/A	N/A	N/A	0.340	-0.12	N/A	N/A	N/A	N/A	-0.09
bmr936	2OMII	2.24	100.0	21	0						1	0.764	0.784	N/A	N/A	N/A	N/A	0.744	0.182	N/A	N/A	N/A	N/A	0.224	-0.12	N/A	N/A	N/A	N/A	0.00
bmr937	1TYMB	1.90	100.0	25	0	1					1	0.798	0.918	0.000	0.000	0.000	0.000	0.677	0.128	0.000	0.000	0.000	0.000	0.296	-0.05	0.00	0.00	0.00	0.00	-0.14
bmr975	1BRJA	2.00	100.0	108	2	1					1	0.884	0.942	N/A	N/A	N/A	N/A	0.827	0.142	N/A	N/A	N/A	N/A	0.282	-0.10	N/A	N/A	N/A	N/A	-0.18
bmr979	1PBA_	NMR	98.8	81	0	1					1	0.494	0.665	N/A	N/A	N/A	N/A	0.322	0.170	N/A	N/A	N/A	N/A	0.473	0.01	N/A	N/A	N/A	N/A	-0.22
bmr1037	2HOA_	NMR	98.5	68	0	1					1	0.540	0.734	N/A	N/A	N/A	N/A	0.347	0.170	N/A	N/A	N/A	N/A	0.337	0.01	N/A	N/A	N/A	N/A	-0.11
bmr1061	2NVHA	1.53	95.3	149	3	1	1	1				0.944	0.877	0.961	0.995	N/A	N/A	N/A	0.142	0.763	0.884	N/A	N/A	N/A	-0.01	0.50	0.65	N/A	N/A	N/A
bmr1062	2NVHA	1.53	95.3	149	2	1	1	1				0.945	0.877	0.962	0.995	N/A	N/A	N/A	0.143	0.759	0.880	N/A	N/A	N/A	-0.01	0.50	0.63	N/A	N/A	N/A
bmr1071	1APO_	NMR	97.6	42	0	1					1	0.595	0.707	N/A	N/A	N/A	N/A	0.484	0.172	N/A	N/A	N/A	N/A	0.408	-0.04	N/A	N/A	N/A	N/A	-0.25
bmr1093	1VDQA	1.50	99.2	129	0	1					1	0.807	0.925	N/A	N/A	N/A	N/A	0.689	0.126	N/A	N/A	N/A	N/A	0.279	-0.03	N/A	N/A	N/A	N/A	-0.01
bmr1120	1LP1B	2.30	100.0	60	0	1					1	0.714	0.810	N/A	N/A	N/A	N/A	0.617	0.144	N/A	N/A	N/A	N/A	0.247	0.03	N/A	N/A	N/A	N/A	0.03
bmr1128	4HIR_	NMR	98.0	49	0	1					1	0.571	0.647	N/A	N/A	N/A	N/A	0.495	0.191	N/A	N/A	N/A	N/A	0.428	0.02	N/A	N/A	N/A	N/A	-0.36
bmr1129	4HIR_	NMR	98.0	49	0	1					1	0.579	0.670	N/A	N/A	N/A	N/A	0.487	0.193	N/A	N/A	N/A	N/A	0.402	0.05	N/A	N/A	N/A	N/A	-0.34
bmr1162	1BCT_	NMR	98.6	69	0	1					1	0.456	0.456	N/A	N/A	N/A	N/A	-0.017	0.129	N/A	N/A	N/A	N/A	0.209	0.17	N/A	N/A	N/A	N/A	0.06
bmr1207	1CYO_	1.50	95.1	81	-2	1					1	0.386	0.453	N/A	N/A	N/A	N/A	0.319	0.174	N/A	N/A	N/A	N/A	0.433	0.03	N/A	N/A	N/A	N/A	-0.03
bmr1208	1CYO_	1.50	96.3	81	-2	1					1	0.764	0.866	N/A	N/A	N/A	N/A	0.661	0.151	N/A	N/A	N/A	N/A	0.405	0.02	N/A	N/A	N/A	N/A	0.09
bmr1209	1ICA_	NMR	97.5	40	0	1					1	0.567	0.651	N/A	N/A	N/A	N/A	0.483	0.163	N/A	N/A	N/A	N/A	0.331	-0.06	N/A	N/A	N/A	N/A	-0.20
bmr1333	451C_	1.60	100.0	81	0	1					1	0.507	0.549	N/A	N/A	N/A	N/A	0.464	0.173	N/A	N/A	N/A	N/A	0.424	0.05	N/A	N/A	N/A	N/A	0.10
bmr1336	1BBO_	NMR	96.7	30	-26	1					1	0.693	0.832	N/A	N/A	N/A	N/A	0.553	0.165	N/A	N/A	N/A	N/A	0.395	0.01	N/A	N/A	N/A	N/A	-0.33
bmr1344	1ZNIC	1.50	100.0	21	0	1					1	0.768	0.786	N/A	N/A	N/A	N/A	0.749	0.116	N/A	N/A	N/A	N/A	0.218	-0.03	N/A	N/A	N/A	N/A	-0.06
bmr1374	1DS3I	1.65	100.0	37	-12	1					1	0.815	0.821	N/A	N/A	N/A	N/A	0.809	0.150	N/A	N/A	N/A	N/A	0.265	-0.01	N/A	N/A	N/A	N/A	-0.12
bmr1375	2SGDI	1.80	100.0	38	-13	1	1	1				0.949	N/A	0.949	N/A	N/A	N/A	N/A	N/A	0.896	N/A	N/A	N/A	N/A	N/A	0.96	N/A	N/A	N/A	N/A
bmr1377	1IVOC	3.30	100.0	44	4	1					1	0.705	0.869	N/A	N/A	N/A	N/A	0.541	0.140	N/A	N/A	N/A	N/A	0.365	-0.03	N/A	N/A	N/A	N/A	-0.19
bmr1378	1JL9A	3.00	100.0	42	5	1					1	0.677	0.863	N/A	N/A	N/A	N/A	0.491	0.153	N/A	N/A	N/A	N/A	0.473	-0.04	N/A	N/A	N/A	N/A	-0.16
bmr1379	2FZ5A	NMR	100.0	137	0	1					1	0.540	0.816	N/A	N/A	N/A	N/A	0.264	0.179	N/A	N/A	N/A	N/A	0.487	-0.00	N/A	N/A	N/A	N/A	0.15
bmr1381	1V6PB	0.87	100.0	62	0	1					1	0.641	0.785	N/A	N/A	N/A	N/A	0.496	0.164	N/A	N/A	N/A	N/A	0.392	-0.05	N/A	N/A	N/A	N/A	-0.01
bmr1396	2DGCA	2.20	100.0	49	8	1					1	0.409	0.522	N/A	N/A	N/A	N/A	0.296	0.144	N/A	N/A	N/A	N/A	0.218	-0.17	N/A	N/A	N/A	N/A	-0.05
bmr1397	2DGCA	2.20	100.0	49	8	1					1	0.409	0.522	N/A	N/A	N/A	N/A	0.296	0.144	N/A	N/A	N/A	N/A	0.218	-0.17	N/A	N/A	N/A	N/A	-0.05
bmr1398	2DGCA	2.20	100.0	49	8	1					1	0.409	0.522	N/A	N/A	N/A	N/A	0.296	0.144	N/A	N/A	N/A	N/A	0.218	-0.17	N/A	N/A	N/A	N/A	-0.05
bmr1399	2DGCA	2.20	100.0	49	8	1					1	0.409	0.522	N/A	N/A	N/A	N/A	0.296	0.144	N/A	N/A	N/A	N/A	0.218	-0.17	N/A	N/A	N/A	N/A	-0.05
bmr1414	1F93H	2.60	100.0	26	4	1					1	0.559	0.758	N/A	N/A	N/A	N/A	0.360	0.123	N/A	N/A	N/A	N/A	0.235	-0.01	N/A	N/A	N/A	N/A	-0.06
bmr1442	2A3GA	2.25	100.0	21	0	1					1	0.494	0.726	N/A	N/A	N/A	N/A	0.262	0.176	N/A	N/A	N/A	N/A	0.254	-0.15	N/A	N/A	N/A	N/A	0.00
bmr1444	1OS3B	1.95	100.0	29	0	1					1	0.522	0.765	N/A	N/A	N/A	N/A	0.278	0.177	N/A	N/A	N/A	N/A	0.383	-0.17	N/A	N/A	N/A	N/A	0.05
bmr1451	1DGCA	3.00	100.0	31	6	1					1	0.644	0.644	N/A	N/A	N/A	N/A	-0.010	0.151	N/A	N/A	N/A	N/A	0.180	-0.24	N/A	N/A	N/A	N/A	-0.05
bmr1452	1DGCA	3.00	100.0	31	6						1	0.659	0.659	N/A	N/A	N/A	N/A	-0.010	0.146	N/A	N/A	N/A	N/A	0.180	-0.25	N/A	N/A	N/A	N/A	-0.05
bmr1453	1DGCA	3.00	100.0	31	6						1	0.644	0.644	N/A	N/A	N/A	N/A	-0.010	0.151	N/A	N/A	N/A	N/A	0.180	-0.24	N/A	N/A	N/A	N/A	-0.05
bmr1454	1DGCA	3.00	100.0	31	6	1					1	0.659	0.659	N/A	N/A	N/A	N/A	-0.010	0.146	N/A	N/A	N/A	N/A	0.180	-0.25	N/A	N/A	N/A	N/A	-0.05
bmr1474					0	1					1	0.592	0.627	0.000	0.000	0.000	0.000	0.557	0.337	0.000	0.000	0.000	0.000	0.622	-0.05	0.00	0.00	0.00	0.00	-0.23
bmr1479	1HCC_	NMR	100.0	59	0	1					1	0.621	0.703	N/A	N/A	N/A	N/A	0.538	0.186	N/A	N/A	N/A	N/A	0.325	-0.07	N/A	N/A	N/A	N/A	-0.08
bmr1480	1HCC_	NMR	100.0	59	0						1	0.607	0.707	N/A	N/A	N/A	N/A	0.508	0.170	N/A	N/A	N/A	N/A	0.344	-0.03	N/A	N/A	N/A	N/A	-0.10
bmr1494	1L1MB	NMR	100.0	51	0						1	0.607	0.577	N/A	N/A	N/A	N/A	0.637	0.114	N/A	N/A	N/A	N/A	0.224	-0.05	N/A	N/A	N/A	N/A	-0.13
bmr1495	1BBI_	NMR	100.0	71	0	1					1	0.436	0.547	N/A	N/A	N/A	N/A	0.325	0.192	N/A	N/A	N/A	N/A	0.441	-0.02	N/A	N/A	N/A	N/A	-0.23
bmr1496	2ADR_	NMR	96.7	30	-28	1					1	0.515	0.589	N/A	N/A	N/A	N/A	0.441	0.174	N/A	N/A	N/A	N/A	0.465	-0.05	N/A	N/A	N/A	N/A	-0.22
bmr1497	2ADR_	NMR	96.7	30	-28	1					1	0.508	0.589	N/A	N/A	N/A	N/A	0.427	0.175	N/A	N/A	N/A	N/A	0.478	-0.04	N/A	N/A	N/A	N/A	-0.25
bmr1500	1KLRA	NMR	96.7	30	0	1					1	0.516	0.715	N/A	N/A	N/A	N/A	0.317	0.178	N/A	N/A	N/A	N/A	0.382	0.14	N/A	N/A	N/A	N/A	-0.06
bmr1517	1D66A	2.70	100.0	42	1	1					1	0.682	0.732	N/A	N/A	N/A	N/A	0.632	0.128	N/A	N/A	N/A	N/A	0.363	-0.12	N/A	N/A	N/A	N/A	-0.26
bmr1553	1TCF_	1.90	100.0	37	-119	1					1	0.647	0.665	N/A	N/A	N/A	N/A	0.629	0.109	N/A	N/A	N/A	N/A	0.305	-0.02	N/A	N/A	N/A	N/A	0.02
bmr1581	1SNM_	1.74	92.0	138	13	1				1	1	0.759	N/A	N/A	N/A	N/A	0.854	0.664	N/A	N/A	N/A	N/A	1.969	0.392	N/A	N/A	N/A	N/A	-0.14	-0.02
bmr1582	1SNM_	1.74	87.7	138	13	1				1	1	0.770	N/A	N/A	N/A	N/A	0.860	0.679	N/A	N/A	N/A	N/A	2.111	0.401	N/A	N/A	N/A	N/A	-0.08	0.01
bmr1585	1ZNIC	1.50	100.0	20	0	1					1	0.745	0.723	N/A	N/A	N/A	N/A	0.767	0.124	N/A	N/A	N/A	N/A	0.249	-0.06	N/A	N/A	N/A	N/A	-0.11
